
--- 2025 Data Head ---
   period_str    gdp_level  gdp_interpolated   gdp_pct
36    2025.01  3703522.188       3703522.188  0.458376
45    2025.01  3741621.888       3741621.888  1.028742
37    2025.02  3716222.088       3716222.088 -0.678845
38    2025.03  3728921.988       3728921.988  0.341742
39    2025.04  3741621.888       3741621.888  0.340578
40    2025.05  3741621.888       3741621.888  0.000000
41    2025.06  3741621.888       3741621.888  0.000000
42    2025.07  3741621.888       3741621.888  0.000000
43    2025.08  3741621.888       3741621.888  0.000000
44    2025.09  3741621.888       3741621.888  0.000000
46    2025.11  3741621.888       3741621.888  0.000000
47    2025.12  3741621.888       3741621.888  0.000000
