"가공식품품목명","대표식품명","식품대분류명","식품소분류명"
"강냉이","강냉이/팝콘","과자류·빵류 또는 떡류","과자"
"캐러멜팝콘","강냉이/팝콘","과자류·빵류 또는 떡류","과자"
"튀밥","강냉이/팝콘","과자류·빵류 또는 떡류","과자"
"팝콘","강냉이/팝콘","과자류·빵류 또는 떡류","과자"
"도넛/완제품","도넛","과자류·빵류 또는 떡류","빵류"
"딸기도넛","도넛","과자류·빵류 또는 떡류","빵류"
"찹쌀도넛/완제품","도넛","과자류·빵류 또는 떡류","빵류"
"초코도넛","도넛","과자류·빵류 또는 떡류","빵류"
"꽈배기/완제품","도넛","과자류·빵류 또는 떡류","빵류"
"찹쌀꽈배기/완제품","도넛","과자류·빵류 또는 떡류","빵류"
"가래떡","떡","과자류·빵류 또는 떡류","떡류"
"감자옹심이","떡","과자류·빵류 또는 떡류","떡류"
"감자뇨끼","떡","과자류·빵류 또는 떡류","떡류"
"찹쌀경단","떡","과자류·빵류 또는 떡류","떡류"
"카스텔라경단","떡","과자류·빵류 또는 떡류","떡류"
"깨송편","떡","과자류·빵류 또는 떡류","떡류"
"콩송편","떡","과자류·빵류 또는 떡류","떡류"
"꿀떡","떡","과자류·빵류 또는 떡류","떡류"
"단호박부꾸미","떡","과자류·빵류 또는 떡류","떡류"
"떡볶이떡","떡","과자류·빵류 또는 떡류","떡류"
"고구마떡볶이떡","떡","과자류·빵류 또는 떡류","떡류"
"떡케이크","떡","과자류·빵류 또는 떡류","떡류"
"찰떡","떡","과자류·빵류 또는 떡류","떡류"
"무지개떡","떡","과자류·빵류 또는 떡류","떡류"
"백설기","떡","과자류·빵류 또는 떡류","떡류"
"과일잼설기","떡","과자류·빵류 또는 떡류","떡류"
"새알","떡","과자류·빵류 또는 떡류","떡류"
"수리취떡","떡","과자류·빵류 또는 떡류","떡류"
"수수부꾸미","떡","과자류·빵류 또는 떡류","떡류"
"시루떡","떡","과자류·빵류 또는 떡류","떡류"
"찰시루떡","떡","과자류·빵류 또는 떡류","떡류"
"콩시루떡","떡","과자류·빵류 또는 떡류","떡류"
"쑥개떡","떡","과자류·빵류 또는 떡류","떡류"
"쑥바람떡","떡","과자류·빵류 또는 떡류","떡류"
"약식","떡","과자류·빵류 또는 떡류","떡류"
"인절미","떡","과자류·빵류 또는 떡류","떡류"
"절편","떡","과자류·빵류 또는 떡류","떡류"
"조랭이떡","떡","과자류·빵류 또는 떡류","떡류"
"증편","떡","과자류·빵류 또는 떡류","떡류"
"찹쌀떡","떡","과자류·빵류 또는 떡류","떡류"
"호박떡","떡","과자류·빵류 또는 떡류","떡류"
"라즈베리마카롱","마카롱","과자류·빵류 또는 떡류","과자"
"레몬마카롱","마카롱","과자류·빵류 또는 떡류","과자"
"바닐라마카롱","마카롱","과자류·빵류 또는 떡류","과자"
"초콜릿마카롱","마카롱","과자류·빵류 또는 떡류","과자"
"커피마카롱","마카롱","과자류·빵류 또는 떡류","과자"
"머핀/완제품","머핀","과자류·빵류 또는 떡류","빵류"
"블루베리머핀","머핀","과자류·빵류 또는 떡류","빵류"
"잉글리쉬머핀","머핀","과자류·빵류 또는 떡류","빵류"
"초코머핀/완제품","머핀","과자류·빵류 또는 떡류","빵류"
"치즈머핀","머핀","과자류·빵류 또는 떡류","빵류"
"바게트","바게트/치아바타","과자류·빵류 또는 떡류","빵류"
"마늘빵/완제품","바게트/치아바타","과자류·빵류 또는 떡류","빵류"
"마늘빵/생지","바게트/치아바타","과자류·빵류 또는 떡류","빵류"
"베이글","베이글","과자류·빵류 또는 떡류","빵류"
"블루베리베이글","베이글","과자류·빵류 또는 떡류","빵류"
"어니언베이글","베이글","과자류·빵류 또는 떡류","빵류"
"쿠키/완제품","비스킷/쿠키/크래커","과자류·빵류 또는 떡류","과자"
"쿠키/생지","비스킷/쿠키/크래커","과자류·빵류 또는 떡류","과자"
"땅콩쿠키/완제품","비스킷/쿠키/크래커","과자류·빵류 또는 떡류","과자"
"땅콩쿠키/생지","비스킷/쿠키/크래커","과자류·빵류 또는 떡류","과자"
"버터쿠키","비스킷/쿠키/크래커","과자류·빵류 또는 떡류","과자"
"초코칩쿠키/완제품","비스킷/쿠키/크래커","과자류·빵류 또는 떡류","과자"
"초코칩쿠키/생지","비스킷/쿠키/크래커","과자류·빵류 또는 떡류","과자"
"크래커","비스킷/쿠키/크래커","과자류·빵류 또는 떡류","과자"
"땅콩샌드크래커","비스킷/쿠키/크래커","과자류·빵류 또는 떡류","과자"
"또띠아","빵","과자류·빵류 또는 떡류","과자"
"통밀또띠아","빵","과자류·빵류 또는 떡류","과자"
"마들렌","빵","과자류·빵류 또는 떡류","과자"
"아이스슈","빵","과자류·빵류 또는 떡류","과자"
"초코아이스슈","빵","과자류·빵류 또는 떡류","과자"
"추로스/완제품","빵","과자류·빵류 또는 떡류","과자"
"쌀추로스","빵","과자류·빵류 또는 떡류","과자"
"건포도빵","빵","과자류·빵류 또는 떡류","빵류"
"꽃빵","빵","과자류·빵류 또는 떡류","빵류"
"단팥붕어빵","빵","과자류·빵류 또는 떡류","빵류"
"단팥빵","빵","과자류·빵류 또는 떡류","빵류"
"롤빵","빵","과자류·빵류 또는 떡류","빵류"
"하드롤빵","빵","과자류·빵류 또는 떡류","빵류"
"모닝빵","빵","과자류·빵류 또는 떡류","빵류"
"모카빵","빵","과자류·빵류 또는 떡류","빵류"
"바나나빵","빵","과자류·빵류 또는 떡류","빵류"
"번","빵","과자류·빵류 또는 떡류","빵류"
"소보루빵","빵","과자류·빵류 또는 떡류","빵류"
"슈","빵","과자류·빵류 또는 떡류","빵류"
"초코슈","빵","과자류·빵류 또는 떡류","빵류"
"슈크림빵","빵","과자류·빵류 또는 떡류","빵류"
"옥수수빵","빵","과자류·빵류 또는 떡류","빵류"
"와플","빵","과자류·빵류 또는 떡류","빵류"
"생크림와플","빵","과자류·빵류 또는 떡류","빵류"
"초코와플","빵","과자류·빵류 또는 떡류","빵류"
"잼빵","빵","과자류·빵류 또는 떡류","빵류"
"치즈볼","빵","과자류·빵류 또는 떡류","빵류"
"핫도그빵","빵","과자류·빵류 또는 떡류","빵류"
"햄버거빵","빵","과자류·빵류 또는 떡류","빵류"
"호밀빵","빵","과자류·빵류 또는 떡류","빵류"
"감자스낵","스낵과자","과자류·빵류 또는 떡류","과자"
"감자칩","스낵과자","과자류·빵류 또는 떡류","과자"
"옥수수스낵","스낵과자","과자류·빵류 또는 떡류","과자"
"식빵","식빵","과자류·빵류 또는 떡류","빵류"
"옥수수식빵","식빵","과자류·빵류 또는 떡류","빵류"
"우유식빵","식빵","과자류·빵류 또는 떡류","빵류"
"통밀식빵","식빵","과자류·빵류 또는 떡류","빵류"
"양갱","양갱","과자류·빵류 또는 떡류","캔디류"
"감귤웨하스","웨이퍼","과자류·빵류 또는 떡류","과자"
"딸기웨하스","웨이퍼","과자류·빵류 또는 떡류","과자"
"바닐라웨하스","웨이퍼","과자류·빵류 또는 떡류","과자"
"건빵","일반과자","과자류·빵류 또는 떡류","과자"
"고구마스틱","일반과자","과자류·빵류 또는 떡류","과자"
"초코막대과자","일반과자","과자류·빵류 또는 떡류","과자"
"쌀과자","일반과자","과자류·빵류 또는 떡류","과자"
"크림치즈롤과자","일반과자","과자류·빵류 또는 떡류","과자"
"호두과자","일반과자","과자류·빵류 또는 떡류","과자"
"약과","전통과자","과자류·빵류 또는 떡류","과자"
"유과","전통과자","과자류·빵류 또는 떡류","과자"
"과일젤리","젤리","과자류·빵류 또는 떡류","캔디류"
"카스텔라","카스텔라","과자류·빵류 또는 떡류","빵류"
"고구마케이크","케이크","과자류·빵류 또는 떡류","빵류"
"당근케이크","케이크","과자류·빵류 또는 떡류","빵류"
"딸기케이크","케이크","과자류·빵류 또는 떡류","빵류"
"라즈베리케이크","케이크","과자류·빵류 또는 떡류","빵류"
"롤케이크","케이크","과자류·빵류 또는 떡류","빵류"
"모카케이크","케이크","과자류·빵류 또는 떡류","빵류"
"블루베리생크림케이크","케이크","과자류·빵류 또는 떡류","빵류"
"과일케이크","케이크","과자류·빵류 또는 떡류","빵류"
"쌀케이크","케이크","과자류·빵류 또는 떡류","빵류"
"초콜릿케이크","케이크","과자류·빵류 또는 떡류","빵류"
"치즈케이크","케이크","과자류·빵류 또는 떡류","빵류"
"블루베리치즈케이크","케이크","과자류·빵류 또는 떡류","빵류"
"컵케이크","케이크","과자류·빵류 또는 떡류","빵류"
"티라미수케이크","케이크","과자류·빵류 또는 떡류","빵류"
"파운드케이크","케이크","과자류·빵류 또는 떡류","빵류"
