식품명,데이터구분명,식품기원코드,식품기원명,식품대분류코드,식품대분류명,대표식품코드,대표식품명,식품중분류코드,식품중분류명,식품소분류코드,식품소분류명,식품세분류코드,식품세분류명,출처코드,출처명
멥쌀_쌀눈_생것,원재료성 식품,1,식물성,1,곡류,1008,멥쌀,100800,해당없음,10080008,쌀눈,1,생것,1,농촌진흥청(국가표준식품성분표)
멥쌀_쌀눈_찐것,원재료성 식품,1,식물성,1,곡류,1008,멥쌀,100800,해당없음,10080008,쌀눈,49,찐것,1,농촌진흥청(국가표준식품성분표)
멥쌀_쌀눈_볶은것,원재료성 식품,1,식물성,1,곡류,1008,멥쌀,100800,해당없음,10080008,쌀눈,58,볶은것,1,농촌진흥청(국가표준식품성분표)
찹쌀_칼슘쌀_생것,원재료성 식품,1,식물성,1,곡류,1038,찹쌀,103821,칼슘쌀,10382103,백미,1,생것,1,농촌진흥청(국가표준식품성분표)
찹쌀밥_칼슘쌀_생것,원재료성 식품,1,식물성,1,곡류,1050,찹쌀밥,105021,칼슘쌀,10502103,백미,0,해당없음,1,농촌진흥청(국가표준식품성분표)
밥_옥광_구운것,원재료성 식품,1,식물성,5,견과 및 종실류,5014,밤,501403,옥광,50140300,해당없음,50,구운것,1,농촌진흥청(국가표준식품성분표)
갓_돌산갓_삶은것,원재료성 식품,1,식물성,6,채소류,6004,갓,600401,돌산갓,60040100,해당없음,46,삶은것,1,농촌진흥청(국가표준식품성분표)
갓_돌산갓_찐것,원재료성 식품,1,식물성,6,채소류,6004,갓,600401,돌산갓,60040100,해당없음,49,찐것,1,농촌진흥청(국가표준식품성분표)
달래_삶은것,원재료성 식품,1,식물성,6,채소류,6039,달래,603900,해당없음,60390000,해당없음,46,삶은것,1,농촌진흥청(국가표준식품성분표)
더덕_순_생것,원재료성 식품,1,식물성,6,채소류,6043,더덕,604300,해당없음,60430026,순,1,생것,1,농촌진흥청(국가표준식품성분표)
더덕_순_데친것,원재료성 식품,1,식물성,6,채소류,6043,더덕,604300,해당없음,60430026,순,47,데친것,1,농촌진흥청(국가표준식품성분표)
도라지_순_생것,원재료성 식품,1,식물성,6,채소류,6044,도라지,604400,해당없음,60440026,순,1,생것,1,농촌진흥청(국가표준식품성분표)
도라지_순_데친것,원재료성 식품,1,식물성,6,채소류,6044,도라지,604400,해당없음,60440026,순,47,데친것,1,농촌진흥청(국가표준식품성분표)
무시래기_잎_말린것,원재료성 식품,1,식물성,6,채소류,6068,무시래기,606800,해당없음,60680078,잎,2,말린것,1,농촌진흥청(국가표준식품성분표)
무말랭이_뿌리_말린것을 불린것,원재료성 식품,1,식물성,6,채소류,6071,무말랭이,607100,해당없음,60710076,뿌리,91,말린것을 불린것,1,농촌진흥청(국가표준식품성분표)
미나리_물미나리_찐것,원재료성 식품,1,식물성,6,채소류,6077,미나리,607703,물미나리,60770300,해당없음,49,찐것,1,농촌진흥청(국가표준식품성분표)
방울다다기양배추_찐것,원재료성 식품,1,식물성,6,채소류,6086,방울다다기양배추,608600,해당없음,60860000,해당없음,49,찐것,1,농촌진흥청(국가표준식품성분표)
배추_알배기_생것,원재료성 식품,1,식물성,6,채소류,6087,배추,608706,알배기,60870600,해당없음,1,생것,1,농촌진흥청(국가표준식품성분표)
배추_알배기_삶은것,원재료성 식품,1,식물성,6,채소류,6087,배추,608706,알배기,60870600,해당없음,46,삶은것,1,농촌진흥청(국가표준식품성분표)
배추_알배기_찐것,원재료성 식품,1,식물성,6,채소류,6087,배추,608706,알배기,60870600,해당없음,49,찐것,1,농촌진흥청(국가표준식품성분표)
