식품코드,식품명,데이터구분명,식품기원코드,식품기원명,식품대분류코드,식품대분류명,대표식품코드,대표식품명,식품중분류코드,식품중분류명,식품소분류코드,식품소분류명,식품세분류코드,식품세분류명,출처코드,출처명,원산지국코드,수입여부,데이터생성방법명,원산지국명,원산지역명
R211-001014001-0759,가라지류_가라지_육_생것_여수_6월,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11001,가라지류,1100101,가라지,110010140,육,1,생것,2,국립수산과학원(표준수산물성분표),410,N,분석,대한민국,여수
R211-461014704-0000,가리비류_가리비_관자(패주)_삶아서 말린것_대표_평균,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11461,가리비류,1146101,가리비,114610147,관자(패주),4,삶아서 말린것,2,국립수산과학원(표준수산물성분표),410,N,분석,대한민국,대표
R211-461014701-0000,가리비류_가리비_관자(패주)_생것_대표_평균,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11461,가리비류,1146101,가리비,114610147,관자(패주),1,생것,2,국립수산과학원(표준수산물성분표),410,N,분석,대한민국,대표
R211-461014002-0000,가리비류_가리비_육_말린것_대표_평균,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11461,가리비류,1146101,가리비,114610140,육,2,말린것,2,국립수산과학원(표준수산물성분표),410,N,분석,대한민국,대표
R211-461014046-0000,가리비류_가리비_육_삶은것_대표_평균,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11461,가리비류,1146101,가리비,114610140,육,46,삶은것,2,국립수산과학원(표준수산물성분표),410,N,분석,대한민국,대표
R211-461014001-0000,가리비류_가리비_육_생것_대표_평균,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11461,가리비류,1146101,가리비,114610140,육,1,생것,2,국립수산과학원(표준수산물성분표),410,N,분석,대한민국,대표
R211-461014028-0000,가리비류_가리비_육_통조림_대표_평균,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11461,가리비류,1146101,가리비,114610140,육,28,통조림,2,국립수산과학원(표준수산물성분표),410,N,분석,대한민국,대표
R211-461034001-0000,가리비류_국자가리비_육_생것_대표_평균,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11461,가리비류,1146103,국자가리비,114610340,육,1,생것,2,국립수산과학원(표준수산물성분표),410,N,분석,대한민국,대표
R211-461057401-0006,"가리비류_비단가리비_양식,육_생것_대표_6월",원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11461,가리비류,1146105,비단가리비,114610574,"양식,육",1,생것,2,국립수산과학원(표준수산물성분표),410,N,분석,대한민국,대표
R211-461054001-1052,가리비류_비단가리비_육_생것_충무_평균,원재료성 식품,2,동물성,11,어패류 및 기타 수산물,11461,가리비류,1146105,비단가리비,114610540,육,1,생것,2,국립수산과학원(표준수산물성분표),410,N,분석,대한민국,충무
